LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
970814,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,3,NA,NA
970815,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,7,NA,NA
970816,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,7,NA,NA
971030,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971031,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971035,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971036,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971037,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971040,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971041,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971042,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971043,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971044,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971045,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971046,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971047,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971048,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971049,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971050,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971051,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971052,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971053,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971054,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971055,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971056,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971057,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971058,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971059,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
971060,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2004,1,NA,NA
