LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
710516,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710516,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710516,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
713507,Northern Myotis,Myotis septentrionalis,Inactive Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2014,1,NA,NA
713537,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713539,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713540,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713541,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713542,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713545,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713548,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713551,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713554,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713564,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713565,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713566,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713572,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713576,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713577,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713580,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713585,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713588,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713589,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2005,1,NA,NA
713592,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713593,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713603,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713604,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713605,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713606,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713607,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713608,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713609,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713616,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713617,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713618,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2010,1,NA,NA
713619,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713620,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,1994,1,NA,NA
713627,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713627,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713629,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,1,NA,NA
713630,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,1,NA,NA
713634,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713636,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713637,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713637,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713638,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713638,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713639,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713640,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713641,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713642,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713642,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713643,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713644,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713644,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713645,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,12,NA,NA
713645,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,2012,1,NA,NA
713646,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713647,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713648,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713649,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713651,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713652,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713653,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713655,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713656,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,11,NA,NA
713658,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2012,2,NA,NA
713693,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713695,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713696,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713697,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713698,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713705,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713707,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713715,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2011,1,NA,NA
713716,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2000,1,NA,NA
